"","time","eps_nAChR_unbound","eps_helicase_unbound"
"325",324,0.00116122495520875,0.00181033369551354
"326",325,0.00113902888159992,0.0017757523806769
"327",326,0.0011172565789606,0.0017418304631137
"328",327,0.00109589995699572,0.00170855538568006
"329",328,0.00107495112983663,0.00167591490763599
"330",329,0.00105440238835684,0.00164389706160341
"331",330,0.00103424605138361,0.00161248992181109
"332",331,0.00101447463398266,0.00158168186637876
"333",332,0.000995080789605054,0.00155146148725169
"334",333,0.000976057306685976,0.0015218175849731
"335",334,0.000957397148954327,0.00149273923156947
"336",335,0.000939093453798515,0.00146421576807774
"337",336,0.000921139371323011,0.0014362365538036
"338",337,0.000903528229983223,0.0014087912244946
"339",338,0.000886253481745303,0.00138186960694241
"340",339,0.000869308699052155,0.00135546171431205
"341",340,0.00085268760458091,0.00132955779257461
"342",341,0.000836384089476126,0.00130414834898229
"343",342,0.00082039204599198,0.00127922389128843
"344",343,0.000804705528164078,0.00125477517820336
"345",344,0.000789318700232898,0.00123079313906048
"346",345,0.00077422583393749,0.00120726886964395
"347",346,0.000759421329794346,0.00118419366539944
"348",347,0.000744899750201599,0.001161559073079
"349",348,0.000730655649689942,0.00113935662619698
"350",349,0.000716683729416368,0.00111757808587245
"351",350,0.000702978788848541,0.00109621536555972
"352",351,0.000689535723351303,0.00107526052732255
"353",352,0.000676349538678334,0.001054705804459
"354",353,0.00066341539497097,0.0010345436701241
"355",354,0.000650728437649591,0.00101476657375178
"356",355,0.000638283944937235,0.000995367171046713
"357",356,0.000626077282744942,0.0009763382536896
"358",357,0.000614103902520218,0.000957672746011968
"359",358,0.000602359350306834,0.000939363719147703
"360",359,0.000590839318371163,0.000921404471544663
"361",360,0.000579539479328776,0.000903788270402045
"362",361,0.000568455625929771,0.000886508569611497
"363",362,0.0005575836291287,0.000869558944414871
"364",363,0.000546919436167208,0.000852933088437907
"365",364,0.000536459075323547,0.000836624821117093
"366",365,0.000526198712474934,0.000820628175906731
"367",366,0.000516134490561172,0.000804937150012948
"368",367,0.000506262661031617,0.000789545909346002
"369",368,0.000496579545073049,0.000774448728091593
"370",369,0.00048708153190126,0.000759639986065426
"371",370,0.000477765080142295,0.000745114170884302
"372",371,0.000468626777219679,0.000730865970578651
"373",372,0.000459663185560311,0.000716890033818366
"374",373,0.000450870965486434,0.000703181161536077
"375",374,0.000442246839498683,0.000689734251254027
"376",375,0.000433787590753974,0.000676544294725197
"377",376,0.000425490061855375,0.000663606376060306
"378",377,0.000417351215467686,0.00065091576625731
"379",378,0.0004093679880762,0.000638467695186808
"380",379,0.000401537404422823,0.00062625753003866
"381",380,0.000393856544681823,0.000614280724152896
"382",381,0.00038632254310391,0.000602532814916857
